SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Associate's degree,1,1,0,1,1,0,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Bachelor's degree,187,74,113,185,185,112,2,1,1
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Master's degree,78,25,53,76,76,52,2,1,1
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Doctor's degree – research/scholarship,8,2,6,8,8,6,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Postbaccalaureate certificate,4,1,3,4,4,3,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Post-master's certificate,1,0,1,1,1,1,0,0,0
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,All award levels (total),535,217,318,506,506,299,29,10,19
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Postsecondary certificate < 60 semester credit hours,81,30,51,79,79,49,2,0,2
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Associate's degree,399,164,235,385,385,224,14,3,11
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Bachelor's degree,39,16,23,29,29,17,10,4,6
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Doctor's degree – research/scholarship,2,2,0,2,2,0,0,0,0
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Postbaccalaureate certificate,14,5,9,11,11,9,3,3,0
Cryptography,11.0401,Information Science/Studies,All award levels (total),15082,10674,4408,11428,11428,3077,3654,2323,1331
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,188,146,42,187,187,42,1,1,0
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,129,107,22,126,126,21,3,2,1
Cryptography,11.0401,Information Science/Studies,Associate's degree,937,739,198,926,926,197,11,10,1
Cryptography,11.0401,Information Science/Studies,Bachelor's degree,6982,5290,1692,6551,6551,1553,431,292,139
Cryptography,11.0401,Information Science/Studies,Master's degree,6338,4055,2283,3256,3256,1137,3082,1936,1146
Cryptography,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,159,102,57,106,106,38,53,34,19
Cryptography,11.0401,Information Science/Studies,Postbaccalaureate certificate,335,231,104,264,264,80,71,47,24
Cryptography,11.0401,Information Science/Studies,Post-master's certificate,14,4,10,12,12,9,2,1,1
Cryptography,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2443,1811,632,1771,1771,424,672,464,208
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,24,17,7,22,22,6,2,1,1
Cryptography,11.0501,Computer Systems Analysis/Analyst,Associate's degree,154,132,22,150,150,21,4,3,1
Cryptography,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1420,1073,347,1369,1369,333,51,37,14
Cryptography,11.0501,Computer Systems Analysis/Analyst,Master's degree,815,566,249,213,213,60,602,413,189
