SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Cryptography,11.0701,Computer Science,All award levels (total),47573,37250,10323,34660,34660,6577,12913,9167,3746
Cryptography,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,42,38,4,41,41,4,1,1,0
Cryptography,11.0701,Computer Science,Associate's degree,2945,2444,501,2662,2662,422,283,204,79
Cryptography,11.0701,Computer Science,Bachelor's degree,31666,25392,6274,27910,27910,5230,3756,2712,1044
Cryptography,11.0701,Computer Science,Master's degree,11636,8362,3274,3478,3478,798,8158,5682,2476
Cryptography,11.0701,Computer Science,Doctor's degree – research/scholarship,1129,904,225,438,438,87,691,553,138
Cryptography,11.0701,Computer Science,Doctor's degree – professional practice,53,42,11,53,53,11,0,0,0
Cryptography,11.0701,Computer Science,Postbaccalaureate certificate,101,67,34,78,78,25,23,14,9
Cryptography,11.0701,Computer Science,Post-master's certificate,1,1,0,0,0,0,1,1,0
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),1925,1254,671,1230,1230,360,695,384,311
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,70,44,26,67,67,24,3,1,2
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,12,6,6,12,12,6,0,0,0
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,112,78,34,111,111,33,1,0,1
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,203,139,64,156,156,37,47,20,27
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,1253,801,452,752,752,229,501,278,223
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,214,153,61,102,102,21,112,72,40
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,61,33,28,30,30,10,31,13,18
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,All award levels (total),14469,11649,2820,12396,12396,2322,2073,1575,498
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postsecondary certificate < 60 semester credit hours,834,665,169,812,812,163,22,16,6
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postsecondary certificate > 60 semester credit hours,9,9,0,9,9,0,0,0,0
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Associate's degree,2468,2056,412,2404,2404,404,64,56,8
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Bachelor's degree,4882,4104,778,4756,4756,745,126,93,33
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Master's degree,5229,4030,1199,3503,3503,782,1726,1309,417
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Doctor's degree – research/scholarship,56,45,11,55,55,11,1,1,0
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postbaccalaureate certificate,960,715,245,830,830,212,130,97,33
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Post-master's certificate,31,25,6,27,27,5,4,3,1
Cryptography,27.0101,"Mathematics, General",All award levels (total),29994,18341,11653,24840,24840,9562,5154,3063,2091
Cryptography,27.0101,"Mathematics, General",Postsecondary certificate < 60 semester credit hours,14,10,4,13,13,3,1,0,1
Cryptography,27.0101,"Mathematics, General",Associate's degree,4617,3193,1424,4315,4315,1291,302,169,133
Cryptography,27.0101,"Mathematics, General",Bachelor's degree,21423,12547,8876,17929,17929,7385,3494,2003,1491
Cryptography,27.0101,"Mathematics, General",Master's degree,2672,1681,991,1875,1875,693,797,499,298
Cryptography,27.0101,"Mathematics, General",Doctor's degree – research/scholarship,1213,886,327,671,671,169,542,384,158
Cryptography,27.0101,"Mathematics, General",Postbaccalaureate certificate,54,23,31,37,37,21,17,7,10
Cryptography,27.0101,"Mathematics, General",Post-master's certificate,1,1,0,0,0,0,1,1,0
Cryptography,27.0303,Computational Mathematics,All award levels (total),257,158,99,176,176,60,81,42,39
Cryptography,27.0303,Computational Mathematics,Bachelor's degree,233,138,95,158,158,57,75,37,38
Cryptography,27.0303,Computational Mathematics,Master's degree,7,6,1,5,5,0,2,1,1
Cryptography,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,14,12,2,10,10,2,4,4,0
Cryptography,27.0303,Computational Mathematics,Postbaccalaureate certificate,3,2,1,3,3,1,0,0,0
Cryptography,27.0502,Mathematical Statistics and Probability,All award levels (total),423,240,183,167,167,56,256,129,127
Cryptography,27.0502,Mathematical Statistics and Probability,Bachelor's degree,235,136,99,134,134,46,101,48,53
Cryptography,27.0502,Mathematical Statistics and Probability,Master's degree,174,94,80,30,30,10,144,74,70
Cryptography,27.0502,Mathematical Statistics and Probability,Doctor's degree – research/scholarship,14,10,4,3,3,0,11,7,4
Cryptography,27.0503,Mathematics and Statistics,All award levels (total),272,157,115,205,205,83,67,35,32
Cryptography,27.0503,Mathematics and Statistics,Bachelor's degree,148,93,55,127,127,45,21,11,10
Cryptography,27.0503,Mathematics and Statistics,Master's degree,124,64,60,78,78,38,46,24,22
Cryptography,52.1302,Business Statistics,All award levels (total),2801,1593,1208,1586,1586,584,1215,591,624
Cryptography,52.1302,Business Statistics,Postsecondary certificate < 60 semester credit hours,6,5,1,6,6,1,0,0,0
Cryptography,52.1302,Business Statistics,Bachelor's degree,581,380,201,478,478,163,103,65,38
Cryptography,52.1302,Business Statistics,Master's degree,1809,961,848,821,821,319,988,459,529
Cryptography,52.1302,Business Statistics,Doctor's degree – research/scholarship,5,4,1,2,2,0,3,2,1
Cryptography,52.1302,Business Statistics,Postbaccalaureate certificate,340,204,136,253,253,97,87,48,39
Cryptography,52.1302,Business Statistics,Post-master's certificate,60,39,21,26,26,4,34,17,17
Lasers,14.0803,Structural Engineering,All award levels (total),363,278,85,251,251,61,112,88,24
Lasers,14.0803,Structural Engineering,Postsecondary certificate < 60 semester credit hours,1,1,0,1,1,0,0,0,0
Lasers,14.0803,Structural Engineering,Associate's degree,5,4,1,5,5,1,0,0,0
Lasers,14.0803,Structural Engineering,Bachelor's degree,124,97,27,106,106,26,18,17,1
Lasers,14.0803,Structural Engineering,Master's degree,211,155,56,125,125,34,86,64,22
Lasers,14.0803,Structural Engineering,Doctor's degree – research/scholarship,14,13,1,6,6,0,8,7,1
Lasers,14.0803,Structural Engineering,Postbaccalaureate certificate,8,8,0,8,8,0,0,0,0
Lasers,14.1001,Electrical and Electronics Engineering,All award levels (total),30549,25145,5404,19645,19645,2916,10904,8416,2488
Lasers,14.1001,Electrical and Electronics Engineering,Postsecondary certificate < 60 semester credit hours,9,9,0,9,9,0,0,0,0
Lasers,14.1001,Electrical and Electronics Engineering,Associate's degree,277,230,47,260,260,44,17,14,3
Lasers,14.1001,Electrical and Electronics Engineering,Bachelor's degree,17758,15153,2605,15258,15258,2216,2500,2111,389
Lasers,14.1001,Electrical and Electronics Engineering,Master's degree,10141,7792,2349,3424,3424,533,6717,4901,1816
Lasers,14.1001,Electrical and Electronics Engineering,Doctor's degree – research/scholarship,2272,1883,389,650,650,116,1622,1349,273
Lasers,14.1001,Electrical and Electronics Engineering,Postbaccalaureate certificate,84,73,11,40,40,5,44,38,6
Lasers,14.1001,Electrical and Electronics Engineering,Post-master's certificate,8,5,3,4,4,2,4,3,1
Lasers,14.1003,Laser and Optical Engineering,All award levels (total),111,92,19,69,69,10,42,33,9
Lasers,14.1003,Laser and Optical Engineering,Bachelor's degree,60,50,10,51,51,8,9,7,2
Lasers,14.1003,Laser and Optical Engineering,Master's degree,40,32,8,12,12,1,28,21,7
Lasers,14.1003,Laser and Optical Engineering,Doctor's degree – research/scholarship,11,10,1,6,6,1,5,5,0
Lasers,14.1004,Telecommunications Engineering,All award levels (total),197,141,56,45,45,6,152,102,50
Lasers,14.1004,Telecommunications Engineering,Postsecondary certificate < 60 semester credit hours,15,14,1,15,15,1,0,0,0
Lasers,14.1004,Telecommunications Engineering,Associate's degree,12,10,2,12,12,2,0,0,0
Lasers,14.1004,Telecommunications Engineering,Master's degree,154,106,48,15,15,3,139,94,45
