SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Postsecondary certificate < 60 semester credit hours,85,36,49,83,83,47,2,0,2
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Associate's degree,323,102,221,308,308,211,15,5,10
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Bachelor's degree,69,27,42,64,64,37,5,0,5
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Master's degree,3,1,2,3,3,2,0,0,0
Cryptography,11.0401,Information Science/Studies,All award levels (total),18009,11891,6118,14556,14556,4606,3453,1941,1512
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,252,183,69,250,250,68,2,1,1
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,126,96,30,125,125,29,1,0,1
Cryptography,11.0401,Information Science/Studies,Associate's degree,986,769,217,966,966,208,20,11,9
Cryptography,11.0401,Information Science/Studies,Bachelor's degree,9718,7028,2690,8991,8991,2430,727,467,260
Cryptography,11.0401,Information Science/Studies,Master's degree,6396,3527,2869,3824,3824,1682,2572,1385,1187
Cryptography,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,194,107,87,113,113,50,81,44,37
Cryptography,11.0401,Information Science/Studies,Postbaccalaureate certificate,325,174,151,278,278,136,47,32,15
Cryptography,11.0401,Information Science/Studies,Post-master's certificate,12,7,5,9,9,3,3,1,2
Cryptography,11.0501,Computer Systems Analysis/Analyst,All award levels (total),1993,1383,610,1433,1433,370,560,320,240
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,64,52,12,64,64,12,0,0,0
Cryptography,11.0501,Computer Systems Analysis/Analyst,Associate's degree,77,61,16,74,74,14,3,1,2
Cryptography,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1035,797,238,948,948,210,87,59,28
Cryptography,11.0501,Computer Systems Analysis/Analyst,Master's degree,628,374,254,258,258,101,370,217,153
Cryptography,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,2,0,2,0,0,0,2,0,2
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,187,99,88,89,89,33,98,43,55
Cryptography,11.0701,Computer Science,All award levels (total),59187,45651,13536,42898,42898,8653,16289,11406,4883
Cryptography,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,74,61,13,69,69,12,5,4,1
Cryptography,11.0701,Computer Science,Associate's degree,4092,3305,787,3751,3751,672,341,226,115
Cryptography,11.0701,Computer Science,Bachelor's degree,39207,31045,8162,34012,34012,6792,5195,3825,1370
Cryptography,11.0701,Computer Science,Master's degree,14364,10120,4244,4450,4450,1036,9914,6706,3208
Cryptography,11.0701,Computer Science,Doctor's degree – research/scholarship,1183,912,271,407,407,102,776,607,169
Cryptography,11.0701,Computer Science,Doctor's degree – professional practice,70,62,8,70,70,8,0,0,0
Cryptography,11.0701,Computer Science,Postbaccalaureate certificate,172,126,46,127,127,28,45,27,18
Cryptography,11.0701,Computer Science,Post-master's certificate,25,20,5,12,12,3,13,11,2
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),3511,2319,1192,2126,2126,655,1385,848,537
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,45,27,18,44,44,17,1,0,1
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,16,11,5,15,15,5,1,1,0
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,143,104,39,143,143,39,0,0,0
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,587,454,133,467,467,102,120,89,31
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,2356,1506,850,1248,1248,406,1108,664,444
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,313,188,125,191,191,78,122,75,47
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,51,29,22,18,18,8,33,19,14
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,All award levels (total),18389,14600,3789,16963,16963,3360,1426,997,429
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postsecondary certificate < 60 semester credit hours,1413,1110,303,1392,1392,297,21,15,6
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Associate's degree,3656,2898,758,3557,3557,731,99,72,27
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Bachelor's degree,6403,5337,1066,6174,6174,1009,229,172,57
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Master's degree,5574,4272,1302,4590,4590,992,984,674,310
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Doctor's degree – research/scholarship,115,88,27,113,113,27,2,2,0
